Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],
Agricultural land (% of land area),AG.LND.AGRI.ZS,Afghanistan,AFG,58.32298422,57.94581666,58.12366803,58.12366803,58.12366803,58.27698818,58.27698818,58.74154823,58.74154823,58.74154823,58.43950754,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Albania,ALB,40.91240876,41.75182482,42.85766423,43.12773723,42.8569708,42.84967153,42.84671533,42.53850365,41.47189781,41.44525547,38.12408759,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Algeria,DZA,16.23854829,16.80326148,17.40592281,17.36553219,17.35501081,17.35656799,17.34698162,17.33522551,17.33060704,17.35134817,17.35903163,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,American Samoa,ASM,9.65,11.35,13.6,13.75,13.9,14.05,14.2,14.35,14.5,14.5,14.8,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Andorra,AND,48.93617021,48.93617021,40.0212766,40.04255319,40.04255319,40.07234043,40.00021277,39.95170213,39.90680851,39.90680851,39.87404255,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Angola,AGO,35.6589396,35.71268148,36.72816235,36.75623646,36.70891153,36.71933906,36.78190423,36.78832117,36.8308334,36.94714045,36.94794257,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Antigua and Barbuda,ATG,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Argentina,ARG,46.61287906,46.95818671,44.12393607,43.43242366,42.9825761,42.36139278,42.60584867,43.00048599,43.10974206,43.42764434,42.43679156,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Armenia,ARM,..,46.46996839,58.89357218,58.89708465,58.87249737,58.914647,58.90410959,59.43808314,59.3969094,58.61342094,58.59336214,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Aruba,ABW,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Australia,AUS,60.45546256,59.28810382,45.31442407,44.53992579,48.34061794,46.65809501,47.12377243,46.25247984,47.2592375,47.2592375,47.22344432,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Austria,AUT,36.64444983,35.63015027,32.94292293,32.35785264,32.16941348,32.14772176,32.12809016,31.53981217,31.53766844,31.47658386,31.47434561,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Azerbaijan,AZE,..,57.38635676,57.7017529,57.73557518,57.79560136,57.8253926,57.82781233,57.83824989,57.8415003,57.84029038,57.82940109,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,"Bahamas, The",BHS,1.098901099,1.098901099,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bahrain,BHR,14.49275362,13.94366197,10.6940874,10.55198973,10.3974359,10.41131105,10.38461538,10.31847134,10.25316456,10.25316456,10.125,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bangladesh,BGD,79.78796958,72.21325958,70.38672505,70.63232696,70.579473,70.69447645,72.1902128,72.44372743,72.35154029,72.37064333,72.31112479,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Barbados,BRB,44.18604651,41.86046512,25.58139535,23.25581395,23.25581395,23.25581395,23.25581395,23.25581395,23.25581395,23.25581395,23.25581395,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Belarus,BLR,..,45.61050639,42.24201638,42.03548978,41.84483812,41.64449699,41.32239549,40.79712287,40.27593003,39.87388541,39.57966923,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Belgium,BEL,..,45.81149243,43.78070089,44.5323575,43.74773349,44.40363362,44.46776415,44.75009182,44.78487571,44.56614416,44.37922214,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Belize,BLZ,5.523893029,6.532222709,7.452871548,7.452871548,7.540552389,7.540552389,7.628233231,7.891275756,7.978956598,7.978956598,7.978956598,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Benin,BEN,20.05406172,28.30681093,36.12294253,34.3804984,36.30170184,39.56020397,41.07138524,39.31401738,41.00234569,43.0623652,41.8300133,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bermuda,BMU,5.555555556,7.407407407,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bhutan,BTN,9.716841812,14.52261307,13.78912296,13.60633389,13.44903523,13.45044573,13.45044573,13.5422129,13.63398007,13.72574725,13.81751442,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bolivia,BOL,32.72869934,34.28690114,35.28200868,35.15462014,35.02261608,35.26313025,35.54441512,35.56459097,35.68278796,35.83070147,35.83070147,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bosnia and Herzegovina,BIH,..,41.6015625,42.5,43.14453125,43.515625,43.18359375,43.28125,43.7890625,44.19921875,21.81640625,21.73828125,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Botswana,BWA,45.91428017,45.79076456,45.63301749,45.63301749,45.63301749,45.63301749,45.63372329,45.63372329,45.63372329,45.63372329,45.63372329,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Brazil,BRA,28.104339,27.31750126,28.16870739,28.2549706,28.34111417,28.33821879,28.33534734,28.33247589,28.32960443,28.32673298,28.32673298,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,British Virgin Islands,VGB,53.33333333,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Brunei Darussalam,BRN,2.466793169,2.277039848,2.542694497,2.542694497,2.542694497,2.542694497,2.542694497,2.542694497,2.542694497,2.542694497,2.542694497,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bulgaria,BGR,55.67206002,50.45647654,46.16709654,46.25092115,46.3294031,46.33382461,46.39830508,46.49042004,46.49042004,46.26013265,46.08502211,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Burkina Faso,BFA,36.36993165,40.97630885,49.29303838,49.82604459,50.3590508,51.19615058,51.67689035,52.15945797,52.67089985,53.3497394,53.40200548,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Burundi,BDI,81.07476636,72.70249221,75.58411215,76.63551402,77.68691589,78.73831776,79.78971963,80.8411215,81.89252336,82.8079634,83.88655763,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Cabo Verde,CPV,16.87344913,17.86600496,19.60297767,19.60297767,19.60297767,19.60297767,19.60297767,19.60297767,19.60297767,19.60297767,19.60297767,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Cambodia,KHM,25.23793338,27.02243372,31.9960571,32.29098119,32.77035973,33.18810786,33.71628031,34.30139191,34.69997564,34.81157772,34.86482948,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Cameroon,CMR,19.39878572,19.37763111,20.62575363,20.62575363,20.67014808,20.71454253,20.75893698,20.80333164,20.84772609,20.89212054,20.93651499,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Canada,CAN,6.848740574,6.835802217,6.467505206,6.474755147,6.454410697,6.456819908,6.434356244,6.370735222,6.484576786,6.494362079,6.47137802,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Cayman Islands,CYM,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Central African Republic,CAF,7.954478474,7.980031462,7.89351183,7.892709236,7.893993387,8.302032168,8.818902694,8.968666731,9.005265017,9.04218434,9.09948955,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Chad,TCD,38.35768742,38.61975858,39.89596569,39.97617535,39.97617535,39.97617535,39.97617535,39.97617535,39.97617535,39.97617535,39.97561944,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Channel Islands,CHI,42.92929293,39.8989899,46.76767677,46.91919192,46.56565657,43.28282828,43.28282828,43.28282828,43.28282828,..,..,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Chile,CHL,21.3830743,20.32192293,17.56518771,17.02586275,16.5754635,16.01607672,15.43534697,14.90262895,14.56318702,14.31993271,14.40102498,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,China,CHN,53.86456475,55.69458321,55.78313057,55.70305735,55.62285036,55.5427499,55.46264943,55.45263687,55.44262431,55.43261175,55.43261175,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Colombia,COL,40.63361875,40.431726,40.36448851,40.35042812,39.19513294,39.70076611,39.97656602,39.8467279,38.76911519,37.64127986,36.48760703,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Comoros,COM,61.2573885,68.78022569,71.46695325,71.46695325,71.46695325,71.46695325,71.46695325,71.46695325,71.46695325,71.46695325,71.46695325,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,"Congo, Dem. Rep.",COD,11.45100461,11.29220794,14.31375576,14.41168038,14.684149,14.82755122,14.92551995,14.94342868,14.9450534,15.30362586,15.48076302,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,"Congo, Rep.",COG,30.79747291,30.86366618,31.10814348,31.11407613,31.11747584,31.13176281,31.20878477,31.16456808,31.25212299,31.1897511,31.19004392,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Costa Rica,CRI,43.0591461,36.03603604,34.45336663,34.13107716,33.8087877,33.71964943,33.63051312,33.54137485,33.34268703,33.14399922,33.14399922,..,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Cote d'Ivoire,CIV,59.92860377,62.12457233,76.93681195,75.42663648,77.70448082,81.3420739,81.5248,82.62582296,84.3928673,84.15681258,86.47581635,..,
