Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Afghanistan,AFG,77.39130435,100,648.3988218,662.6182866,986.8020305,847.5465313,535.5267281,427.5615717,255.2547471,248.0228113,324.2902801,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Albania,ALB,104.1879469,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Algeria,DZA,97.69230769,83.15315315,21.79200794,14.4756415,14.4756415,14.4756415,14.4756415,14.4756415,14.4756415,14.4756415,14.4756415,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Argentina,ARG,315.2380952,587.0632653,212.5150058,258.568032,236.7237886,364.065733,347.5071687,356.2510676,543.2765177,464.8637341,345.3654773,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Australia,AUS,236.5023275,235.2523172,285.7796177,282.482004,309.2797631,304.1789799,307.0820403,344.5751854,350.4600197,337.1803747,409.5132809,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Austria,AUT,101.2687813,95.11940928,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Azerbaijan,AZE,..,..,..,..,..,..,292.5156487,468.8535596,31.88735905,31.24362087,55.04251932,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Bahrain,BHR,..,0.140095719,0.787929322,0.174378521,0.236372101,0.315753697,0.446182187,0.863991318,0.863991318,0.061613335,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Bangladesh,BGD,131.4571746,114.7718816,476.94974,392.3759299,460.5520369,572.9675926,544.2114819,554.9239149,673.5128826,665.6406709,667.524425,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Belarus,BLR,..,19.95884264,14.68444966,11.5781354,10.00056635,10.58640033,10.27793824,11.70912052,10.90281227,12.53958139,12.67920871,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Belgium,BEL,33.92226148,..,22.64873078,21.68470392,19.3179988,22.00306502,18.41375923,24.1561267,20.1658993,17.89193432,21.00965626,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Bolivia,BOL,..,..,..,..,..,40.95078642,19.80271105,571.3087033,54.73929763,21.37434274,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Bosnia and Herzegovina,BIH,..,..,168.4272788,252.2930867,226.1469443,468.7170013,276.0186704,361.9057585,447.016174,265.4565058,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Brazil,BRA,169.1884776,250.5421483,402.5328716,526.3363615,635.8643912,590.8926816,803.6594441,790.8127115,756.8751119,663.0296997,718.2958138,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Bulgaria,BGR,71.51478954,30.4339092,133.9931744,151.3820085,55.68897979,67.71150986,73.03866292,74.3822834,68.61453727,80.27482735,82.73470316,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Burkina Faso,BFA,18246.55172,8857.180157,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Cambodia,KHM,110.8108108,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Canada,CAN,20.15869152,18.46306766,25.67180445,25.25475945,24.26808904,23.9234979,24.82322852,28.39221281,27.88238409,26.47534572,37.39697017,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Chile,CHL,196.5910256,92.60326609,36.9253415,30.49717787,33.89593864,31.80527218,49.4398694,41.33714028,40.41762855,27.53160376,117.4017677,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,China,CHN,142.3656531,119.973872,82.18445708,92.25367854,92.13984479,93.95611707,89.39780127,88.56559569,84.51833998,88.95960425,92.03127771,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Colombia,COL,303.1202818,208.6212361,427.8677075,464.3534188,504.008761,436.9536298,437.5327635,509.425435,508.001657,411.6275891,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Costa Rica,CRI,359.602649,1246.268657,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Cote d'Ivoire,CIV,2466.666667,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Croatia,HRV,..,52.20391834,34.70529362,23.98187006,35.41784312,41.8189541,37.81362514,40.57574152,63.81645094,211.2173198,221.8444562,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Cuba,CUB,394.5578231,260.8,682.5816327,741.5074627,1037.614583,791.3191489,1487.68,918.3209877,1481.159934,763.227402,684.642526,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Czechia,CZE,..,100.7785646,275.359932,294.5233838,312.956344,287.008586,363.7620034,475.4608575,253.7016358,290.185284,311.6012992,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Denmark,DNK,238.0451128,225.1612903,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,"Egypt, Arab Rep.",EGY,111.7232091,86.25665465,62.2911039,53.13863713,43.30035738,42.47384583,42.29117318,45.65613283,46.70588235,45.26834611,41.53768844,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,El Salvador,SLV,663.1438957,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Estonia,EST,..,92.46792333,47056.2442,49620.57184,24085.51835,22868.77794,23596.10577,24917.41799,27443.74574,22973.71013,20163.26994,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Eswatini,SWZ,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Finland,FIN,100.6251421,88.20058997,45.25085263,48.21822158,63.07664923,58.23791898,46.28638554,49.84505863,41.82194833,119.7367635,1716.035303,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,France,FRA,152.0522288,255.5363748,449.9064906,505.1928666,560.5960365,423.053706,444.0426349,..,1418.352886,7180.740621,7180.740621,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Georgia,GEO,..,42,14.65919309,21.0141317,15.46258662,12.6057367,12.12787167,37.38498016,33.22554548,29.64152285,28.91691692,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Germany,DEU,52.14042295,60.97090141,54.80768087,55.54228364,49.74070684,47.92683782,50.98131938,47.41760948,38.48101749,39.24765341,47.17811844,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Ghana,GHA,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Greece,GRC,110.4586574,131.0721472,98.09824572,135.7729602,79.90790666,149.4200502,187.5792698,254.8232421,289.8078226,73.03521333,72.72903673,..,
