Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Afghanistan,AFG,43.93,50.23,95.65,104.04,99.21,94.89,115.78,121.77,125.67,121.34,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Albania,ALB,50.48,51.88,99.91,104.15,105.84,106.17,107.67,114.06,114.68,121.68,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Algeria,DZA,24.79,30.95,101.74,103.33,104.4,115.36,121.01,120.95,108.76,118.19,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Angola,AGO,12.9,25.49,100.89,105.11,104.58,107.34,109.43,115.08,116.22,122.45,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Antigua and Barbuda,ATG,89.68,99.39,101.02,98.21,89.69,85.51,83.2,81.44,81.79,81.72,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Argentina,ARG,39.14,60.89,104.14,101.71,106.82,92.2,113.14,106.59,107.19,107.33,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Armenia,ARM,..,40.29,110.61,90.27,87.87,71.74,68.53,74.7,71.89,73.65,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Australia,AUS,54.51,90.92,97.94,99.19,131.17,104.5,84.09,76.66,129.02,146.08,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Austria,AUT,103.55,100.66,92.74,99.33,93.71,98.78,98.08,103.38,100.74,100.31,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Azerbaijan,AZE,..,59.31,102.1,105.38,115.97,125.24,137.56,137.81,142.51,144.86,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,"Bahamas, The",BHS,51.54,60.85,100.59,100.49,100.75,100.31,102.7,101.67,101.75,102.18,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Bahrain,BHR,49.27,94.71,98.43,109.21,94.53,96.15,99.88,101.93,106.7,106.87,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Bangladesh,BGD,45.08,62.5,100.69,100.55,108.47,108,109.89,111.84,116.46,119.1,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Barbados,BRB,247.63,243.82,99.47,87.69,102.47,114.62,97.58,96.79,90.63,108.33,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Belarus,BLR,..,85.57,97.86,92.81,98.79,87.82,91.51,97.89,89.63,93.16,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Belgium,BEL,..,100.51,99.92,89.83,102.82,86.5,99.05,95.28,98.11,95.86,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Belize,BLZ,56.03,105.26,102.26,93.71,103.24,95.77,93.19,93.39,99.93,98.44,..,..,,,,
